name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mexico city,2023-05-24,29.1,12,19.8,29.2,12,19.7,10.4,60.3,0.5,100,4.17,rain,0,0,27,21.6,8.1,1019.8,77.6,10.4,188.6,16.1,9,10,2023-05-24T05:58:51,2023-05-24T19:08:11,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,remote,MMSM,MMTO,MMMX"
mexico city,2023-05-25,27,14.9,20.9,26.2,14.9,20.8,9.3,51.7,0.4,100,4.17,rain,0,0,19.8,25.9,0.5,1016,63.2,13.9,207.5,17.8,9,10,2023-05-25T05:58:39,2023-05-25T19:08:34,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76675399999,76679399999,MMCB,remote,MMTO,MMMX"
mexico city,2023-05-26,27.1,12.1,20.4,27.6,12.1,20.4,9.7,53.8,0,0,0,rain,0,0,24.5,29.5,35.7,1017.4,86.1,13.6,340.3,29.4,10,10,2023-05-26T05:58:28,2023-05-26T19:08:58,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,MMCB,remote,MMSM,MMTO,MMMX"
mexico city,2023-05-27,27.1,12.1,20.3,26.2,12.1,20.3,8.2,48.1,0.5,100,4.17,rain,0,0,14.8,18,59.5,1020.1,79.3,14.3,353.5,30.3,10,10,2023-05-27T05:58:17,2023-05-27T19:09:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,remote,MMSM,MMTO"
mexico city,2023-05-28,28,8.1,17.9,28,6.8,17.8,10.3,63.1,1.3,100,4.17,rain,0,0,20.2,22.3,31.6,1021.6,74,12.5,205.7,17.7,10,10,2023-05-28T05:58:08,2023-05-28T19:09:45,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,remote,MMSM,MMMX,MMTO"
mexico city,2023-05-29,30.1,9.1,17.5,29.8,9.1,17.5,9.4,60.4,1.5,100,4.17,rain,0,0,19.8,28.4,130.7,1020.9,58.5,14.1,205.1,17.8,10,10,2023-05-29T05:58:00,2023-05-29T19:10:08,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,remote,MMSM,MMTO,MMMX"
mexico city,2023-05-30,30.1,9.1,19.5,29.5,9.1,19.4,7.3,50.3,0,0,0,,0,0,20.9,20.5,349.9,1017.6,31.7,13.6,351.2,30.4,10,10,2023-05-30T05:57:53,2023-05-30T19:10:32,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,remote,MMSM,MMMX,MMTO"
mexico city,2023-05-31,27,12.1,21,26.9,12.1,20.9,10.2,53.2,0,0,0,rain,0,0,90,18,21.8,1012.4,44.9,10.5,302.6,25.9,10,10,2023-05-31T05:57:47,2023-05-31T19:10:55,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMMX,MMTO"
mexico city,2023-06-01,30,11.1,21.8,30.3,11.1,21.7,11,53.8,0.4,100,4.17,rain,0,0,28.8,22.3,146.5,1015.4,35.7,10.6,337.8,29.3,10,10,2023-06-01T05:57:42,2023-06-01T19:11:17,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
mexico city,2023-06-02,30,10.1,23,28.3,10.1,22.7,8.9,45.3,4.122,100,4.17,rain,0,0,15.1,17.3,49.5,1015.7,40.7,11.5,352.6,30.4,10,10,2023-06-02T05:57:38,2023-06-02T19:11:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-03,30.1,12.1,23.4,28.4,12.1,22.9,7.3,39.4,0,0,0,,0,0,24.5,27.7,16.9,1014.3,39.7,13.6,313.2,26.9,10,10,2023-06-03T05:57:35,2023-06-03T19:12:02,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX"
mexico city,2023-06-04,29.8,13.1,23.4,28.4,13.1,23.1,7.5,39.1,0.1,100,4.17,rain,0,0,30.2,21.6,249.8,1009.7,24.4,13.3,344,29.8,10,10,2023-06-04T05:57:33,2023-06-04T19:12:24,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX"
mexico city,2023-06-05,28.9,8.1,20.3,27.3,8.1,20.1,8.9,53.3,0,0,0,rain,0,0,36,22.2,22.5,1015.2,33.1,10.4,341.2,29.4,10,10,2023-06-05T05:57:32,2023-06-05T19:12:46,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
mexico city,2023-06-06,27,14,20.2,26.3,14,20.1,10.7,59,4.482,100,12.5,rain,0,0,28.8,33,333,1012.6,65.2,10.1,237.6,20.5,10,10,2023-06-06T05:57:32,2023-06-06T19:13:07,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
mexico city,2023-06-07,25.8,9.7,18.6,25.8,9.7,18.6,11.7,66.6,9.2,100,20.83,rain,0,0,36,29.9,241,1015.3,63.6,9.9,221.1,19.1,10,10,2023-06-07T05:57:33,2023-06-07T19:13:28,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999"
